# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2
-1.516113 20.0 5654 9383 149640 2 3795984005 15037 0.000000 0.000000
-1.417236 20.0 6413 8236 149794 1 3795984031 14649 0.000000 0.000000
-1.329346 20.0 7508 7507 149544 3 3795984057 15015 0.000000 0.000000
-1.241455 20.0 7823 6832 149758 2 3795984084 14655 0.000000 0.000000
-1.142578 20.0 8269 6607 149665 3 3795984110 14876 0.000000 0.000000
-1.054688 20.0 8246 6427 149710 2 3795984136 14673 0.000000 0.000000
-0.955811 20.0 8261 6538 149470 0 3795984162 14799 0.000000 0.000000
-0.878906 20.0 7733 7102 149343 5 3795984188 14835 0.000000 0.000000
-0.780029 20.0 7436 7395 149371 2 3795984214 14831 0.000000 0.000000
-0.692139 20.0 6637 8191 150179 5 3795984240 14828 0.000000 0.000000
-0.604248 20.0 5875 9022 149778 1 3795984266 14897 0.000000 0.000000
-0.505371 20.0 4822 10200 149724 4 3795984292 15022 0.000000 0.000000
-0.417480 20.0 4002 11008 149925 3 3795984318 15010 0.000000 0.000000
-0.329590 20.0 3161 11756 149871 2 3795984345 14917 0.000000 0.000000
-0.241699 20.0 2516 12356 149984 0 3795984371 14872 0.000000 0.000000
-0.164795 20.0 1964 12760 150456 1 3795984397 14724 0.000000 0.000000
-0.054932 20.0 1641 13365 150344 1 3795984423 15006 0.000000 0.000000
0.021973 20.0 1660 13539 150065 6 3795984449 15199 0.000000 0.000000
0.120850 20.0 1786 12938 150227 3 3795984475 14724 0.000000 0.000000
0.208740 20.0 2260 12586 150186 7 3795984501 14846 0.000000 0.000000
0.296631 20.0 2880 11778 150368 3 3795984527 14658 0.000000 0.000000
0.373535 20.0 3511 11117 150697 3 3795984554 14628 0.000000 0.000000
0.472412 20.0 4614 10314 150836 1 3795984580 14928 0.000000 0.000000
0.571289 20.0 5560 9306 150551 1 3795984606 14866 0.000000 0.000000
0.648193 20.0 6361 8426 150680 5 3795984632 14787 0.000000 0.000000
0.747070 20.0 7374 7676 150927 1 3795984658 15050 0.000000 0.000000
0.834961 20.0 7792 7050 150718 0 3795984684 14842 0.000000 0.000000
0.933838 20.0 8312 6482 150794 5 3795984710 14794 0.000000 0.000000
1.032715 20.0 8608 6212 151055 1 3795984736 14820 0.000000 0.000000
1.109619 20.0 8440 6451 150997 4 3795984763 14891 0.000000 0.000000
1.197510 20.0 8244 6804 150761 5 3795984789 15048 0.000000 0.000000
1.274414 20.0 7762 7203 150787 1 3795984815 14965 0.000000 0.000000
1.373291 20.0 6890 8033 150870 2 3795984841 14923 0.000000 0.000000
1.483154 20.0 6267 8736 150459 2 3795984867 15003 0.000000 0.000000
1.549072 20.0 5290 9531 150443 3 3795984893 14821 0.000000 0.000000
