# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2
-1.505127 20.0 9488 5916 152380 3 3796002655 15404 0.000000 0.000000
-1.417236 20.0 9524 5889 152284 6 3796002681 15413 0.000000 0.000000
-1.329346 20.0 9163 6258 152041 5 3796002707 15421 0.000000 0.000000
-1.230469 20.0 8580 6533 152090 3 3796002733 15113 0.000000 0.000000
-1.142578 20.0 7911 7498 152078 5 3796002759 15409 0.000000 0.000000
-1.054688 20.0 7072 8306 152184 2 3796002785 15378 0.000000 0.000000
-0.955811 20.0 5878 9426 152803 5 3796002812 15304 0.000000 0.000000
-0.856934 20.0 4866 10578 152153 2 3796002838 15444 0.000000 0.000000
-0.780029 20.0 3927 11392 152777 5 3796002864 15319 0.000000 0.000000
-0.703125 20.0 2930 12464 152743 6 3796002890 15394 0.000000 0.000000
-0.593262 20.0 2212 13090 152747 1 3796002916 15302 0.000000 0.000000
-0.505371 20.0 1837 13554 152516 0 3796002942 15391 0.000000 0.000000
-0.417480 20.0 1728 13660 147140 3 3796002968 15388 0.000000 0.000000
-0.329590 20.0 1892 13567 162465 5 3796002994 15459 0.000000 0.000000
-0.252686 20.0 2347 12853 162050 4 3796003021 15200 0.000000 0.000000
-0.153809 20.0 2966 12309 162109 0 3796003047 15275 0.000000 0.000000
-0.054932 20.0 4021 11466 162106 4 3796003073 15487 0.000000 0.000000
0.043945 20.0 5090 10417 162158 6 3796003099 15507 0.000000 0.000000
0.109863 20.0 6056 9344 162067 1 3796003125 15400 0.000000 0.000000
0.208740 20.0 7052 8242 161978 2 3796003151 15294 0.000000 0.000000
0.285645 20.0 7870 7431 162306 5 3796003177 15301 0.000000 0.000000
0.384522 20.0 8701 6683 162199 1 3796003203 15384 0.000000 0.000000
0.472412 20.0 9179 5952 162024 5 3796003230 15131 0.000000 0.000000
0.571289 20.0 9778 5657 162171 2 3796003256 15435 0.000000 0.000000
0.659180 20.0 9405 5717 162001 4 3796003282 15122 0.000000 0.000000
0.736084 20.0 9264 6069 162000 2 3796003308 15333 0.000000 0.000000
0.823975 20.0 8583 6634 162156 1 3796003334 15217 0.000000 0.000000
0.933838 20.0 7672 7638 162360 3 3796003360 15310 0.000000 0.000000
1.021729 20.0 6913 8382 162136 1 3796003386 15295 0.000000 0.000000
1.109619 20.0 5876 9534 161958 3 3796003412 15410 0.000000 0.000000
1.186523 20.0 4920 10576 161989 1 3796003439 15496 0.000000 0.000000
1.285400 20.0 3861 11476 161756 2 3796003465 15337 0.000000 0.000000
1.373291 20.0 2839 12461 162000 2 3796003491 15300 0.000000 0.000000
1.472168 20.0 2206 13123 161833 0 3796003517 15329 0.000000 0.000000
1.560059 20.0 1828 13428 161986 2 3796003543 15256 0.000000 0.000000
