# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2
-1.757812 60.0 24207 22253 507118 8 3793691312 46460 0.000000 0.000000
-1.669922 60.0 21678 24719 506007 11 3793691378 46397 0.000000 0.000000
-1.604004 60.0 18588 28228 509924 7 3793691444 46816 0.000000 0.000000
-1.505127 60.0 15637 31021 502854 8 3793691510 46658 0.000000 0.000000
-1.417236 60.0 12452 34471 499168 9 3793691576 46923 0.000000 0.000000
-1.329346 60.0 9565 37639 506614 11 3793691643 47204 0.000000 0.000000
-1.241455 60.0 7099 39865 507413 13 3793691709 46964 0.000000 0.000000
-1.153565 60.0 5783 41250 516465 11 3793691775 47033 0.000000 0.000000
-1.087646 60.0 5383 41328 513123 4 3793691841 46711 0.000000 0.000000
-0.988769 60.0 6020 41070 509692 8 3793691907 47090 0.000000 0.000000
-0.900879 60.0 6786 39797 507938 4 3793691973 46583 0.000000 0.000000
-0.812988 60.0 8216 37965 504074 13 3793692039 46181 0.000000 0.000000
-0.736084 60.0 10979 35193 498327 16 3793692106 46172 0.000000 0.000000
-0.648193 60.0 14780 31485 497864 7 3793692172 46265 0.000000 0.000000
-0.560303 60.0 17606 28288 504494 8 3793692238 45894 0.000000 0.000000
-0.472412 60.0 20685 25483 498527 11 3793692304 46168 0.000000 0.000000
-0.395508 60.0 22834 22909 496979 4 3793692370 45743 0.000000 0.000000
-0.307617 60.0 25693 19724 497509 6 3793692436 45417 0.000000 0.000000
-0.219727 60.0 28035 17732 499534 6 3793692502 45767 0.000000 0.000000
-0.131836 60.0 29197 16511 502272 5 3793692569 45708 0.000000 0.000000
-0.043945 60.0 29317 16166 503526 6 3793692635 45483 0.000000 0.000000
0.032959 60.0 28962 16217 515008 7 3793692701 45179 0.000000 0.000000
0.131836 60.0 27671 18064 524499 6 3793692767 45735 0.000000 0.000000
0.208740 60.0 25174 20727 522294 16 3793692833 45901 0.000000 0.000000
0.296631 60.0 23132 23096 506862 8 3793692899 46228 0.000000 0.000000
0.384522 60.0 20768 25488 505941 12 3793692965 46256 0.000000 0.000000
0.472412 60.0 17367 29227 504125 9 3793693031 46594 0.000000 0.000000
0.571289 60.0 14811 31849 504200 7 3793693098 46660 0.000000 0.000000
0.648193 60.0 10942 35848 504734 13 3793693164 46790 0.000000 0.000000
0.736084 60.0 8425 38186 505327 8 3793693230 46611 0.000000 0.000000
0.823975 60.0 6434 40075 499107 14 3793693296 46509 0.000000 0.000000
0.889893 60.0 5718 40993 501858 8 3793693362 46711 0.000000 0.000000
0.977783 60.0 5864 40988 506305 11 3793693428 46852 0.000000 0.000000
1.076660 60.0 6068 40171 504651 11 3793693494 46239 0.000000 0.000000
1.164551 60.0 7273 39337 508791 5 3793693560 46610 0.000000 0.000000
1.252441 60.0 9026 37283 504243 14 3793693627 46309 0.000000 0.000000
1.340332 60.0 11682 34528 501369 10 3793693693 46210 0.000000 0.000000
1.417236 60.0 14311 31669 498454 5 3793693759 45980 0.000000 0.000000
1.494141 60.0 18315 27224 496134 12 3793693825 45539 0.000000 0.000000
1.582031 60.0 19606 25927 490255 10 3793693891 45533 0.000000 0.000000
1.669922 60.0 22985 22319 498198 9 3793693957 45304 0.000000 0.000000
1.768799 60.0 25906 19374 511066 11 3793694023 45280 0.000000 0.000000
