# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2
-1.757812 20.0 8071 7270 168973 6 3793718431 15341 0.000000 0.000000
-1.680908 20.0 7035 8538 169402 7 3793718457 15573 0.000000 0.000000
-1.582031 20.0 5939 9674 170268 8 3793718484 15613 0.000000 0.000000
-1.516113 20.0 5236 10528 168890 4 3793718510 15764 0.000000 0.000000
-1.417236 20.0 4478 11113 169350 6 3793718536 15591 0.000000 0.000000
-1.329346 20.0 3064 12661 169092 4 3793718562 15725 0.000000 0.000000
-1.241455 20.0 2392 13362 168527 2 3793718588 15754 0.000000 0.000000
-1.142578 20.0 1958 13565 167012 4 3793718614 15523 0.000000 0.000000
-1.087646 20.0 1735 13998 165838 2 3793718640 15733 0.000000 0.000000
-0.999756 20.0 1747 13708 167495 3 3793718666 15455 0.000000 0.000000
-0.900879 20.0 2310 13409 167542 4 3793718693 15719 0.000000 0.000000
-0.812988 20.0 2714 13003 168304 2 3793718719 15717 0.000000 0.000000
-0.725098 20.0 3338 12095 165636 5 3793718745 15433 0.000000 0.000000
-0.637207 20.0 4921 10583 166842 1 3793718771 15504 0.000000 0.000000
-0.571289 20.0 5868 9920 166892 3 3793718797 15788 0.000000 0.000000
-0.483398 20.0 6780 8598 167525 7 3793718823 15378 0.000000 0.000000
-0.395508 20.0 7906 7260 167594 3 3793718849 15166 0.000000 0.000000
-0.285645 20.0 8782 6454 167678 2 3793718875 15236 0.000000 0.000000
-0.208740 20.0 9299 5895 168383 0 3793718902 15194 0.000000 0.000000
-0.120850 20.0 9789 5454 168568 7 3793718928 15243 0.000000 0.000000
-0.054932 20.0 10043 5142 167897 3 3793718954 15185 0.000000 0.000000
0.032959 20.0 9796 5619 167514 4 3793718980 15415 0.000000 0.000000
0.142822 20.0 9438 5834 168222 5 3793719006 15272 0.000000 0.000000
0.208740 20.0 8941 6438 167445 4 3793719032 15379 0.000000 0.000000
0.296631 20.0 8091 7280 168198 4 3793719058 15371 0.000000 0.000000
0.373535 20.0 7253 7794 168123 3 3793719084 15047 0.000000 0.000000
0.472412 20.0 6201 9163 165847 2 3793719110 15364 0.000000 0.000000
0.560303 20.0 5034 10522 165829 2 3793719137 15556 0.000000 0.000000
0.648193 20.0 4264 11399 166338 2 3793719163 15663 0.000000 0.000000
0.725098 20.0 2886 12642 164681 6 3793719189 15528 0.000000 0.000000
0.823975 20.0 2618 13287 167274 3 3793719215 15905 0.000000 0.000000
0.900879 20.0 2150 13611 167453 3 3793719241 15761 0.000000 0.000000
0.988769 20.0 1777 13930 167058 2 3793719267 15707 0.000000 0.000000
1.065674 20.0 1817 13959 167306 2 3793719293 15776 0.000000 0.000000
1.164551 20.0 2191 13339 168622 4 3793719319 15530 0.000000 0.000000
1.241455 20.0 2887 12782 168298 3 3793719346 15669 0.000000 0.000000
1.340332 20.0 3604 11904 168009 3 3793719372 15508 0.000000 0.000000
1.406250 20.0 4319 11338 167308 3 3793719398 15657 0.000000 0.000000
1.494141 20.0 5389 10280 168297 1 3793719424 15669 0.000000 0.000000
1.593018 20.0 6650 8635 167512 8 3793719450 15285 0.000000 0.000000
1.680908 20.0 7544 7751 167897 2 3793719476 15295 0.000000 0.000000
1.768799 20.0 8530 6828 167728 2 3793719502 15358 0.000000 0.000000
