# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2
-1.757812 20.0 7286 4722 164345 3 3793745554 12008 0.000000 0.000000
-1.658935 20.0 7122 4840 164730 2 3793745580 11962 0.000000 0.000000
-1.604004 20.0 6776 5314 165311 2 3793745606 12090 0.000000 0.000000
-1.516113 20.0 6089 5968 165360 2 3793745632 12057 0.000000 0.000000
-1.417236 20.0 5647 6646 162515 5 3793745658 12293 0.000000 0.000000
-1.340332 20.0 4745 7498 164599 3 3793745684 12243 0.000000 0.000000
-1.241455 20.0 4006 8264 163223 3 3793745710 12270 0.000000 0.000000
-1.153565 20.0 3476 8980 164042 4 3793745737 12456 0.000000 0.000000
-1.087646 20.0 3035 9257 164674 4 3793745763 12292 0.000000 0.000000
-0.988769 20.0 2553 9730 165339 3 3793745789 12283 0.000000 0.000000
-0.911865 20.0 2438 10110 164952 1 3793745815 12548 0.000000 0.000000
-0.812988 20.0 2485 9915 164218 2 3793745841 12400 0.000000 0.000000
-0.725098 20.0 2577 9699 167543 6 3793745867 12276 0.000000 0.000000
-0.637207 20.0 3024 9366 169418 5 3793745893 12390 0.000000 0.000000
-0.549316 20.0 3303 8864 167333 1 3793745919 12167 0.000000 0.000000
-0.472412 20.0 3887 8176 168175 1 3793745945 12063 0.000000 0.000000
-0.384522 20.0 4762 7619 166790 3 3793745972 12381 0.000000 0.000000
-0.296631 20.0 5299 6908 166326 2 3793745998 12207 0.000000 0.000000
-0.219727 20.0 5886 6115 165732 7 3793746024 12001 0.000000 0.000000
-0.120850 20.0 6635 5562 163151 6 3793746050 12197 0.000000 0.000000
-0.043945 20.0 6956 5074 163693 2 3793746076 12030 0.000000 0.000000
0.032959 20.0 7202 4778 162375 2 3793746102 11980 0.000000 0.000000
0.120850 20.0 7659 4332 162454 2 3793746128 11991 0.000000 0.000000
0.219727 20.0 7475 4485 162331 4 3793746154 11960 0.000000 0.000000
0.307617 20.0 7392 4618 161779 2 3793746180 12010 0.000000 0.000000
0.373535 20.0 7089 5035 163145 4 3793746207 12124 0.000000 0.000000
0.472412 20.0 6687 5269 162173 4 3793746233 11956 0.000000 0.000000
0.560303 20.0 6135 5907 161802 6 3793746259 12042 0.000000 0.000000
0.648193 20.0 5412 6660 159202 1 3793746285 12072 0.000000 0.000000
0.736084 20.0 4645 7495 160131 1 3793746311 12140 0.000000 0.000000
0.823975 20.0 4070 8296 160246 1 3793746337 12366 0.000000 0.000000
0.889893 20.0 3514 8889 160153 2 3793746363 12403 0.000000 0.000000
0.966797 20.0 3052 9154 159442 4 3793746389 12206 0.000000 0.000000
1.076660 20.0 2702 9742 160084 3 3793746415 12444 0.000000 0.000000
1.153565 20.0 2457 10103 160411 5 3793746442 12560 0.000000 0.000000
1.252441 20.0 2351 9735 160581 2 3793746468 12086 0.000000 0.000000
1.340332 20.0 2449 9846 161230 0 3793746494 12295 0.000000 0.000000
1.406250 20.0 2766 9440 163805 1 3793746520 12206 0.000000 0.000000
1.494141 20.0 3244 9051 164451 4 3793746546 12295 0.000000 0.000000
1.593018 20.0 3748 8516 164535 2 3793746572 12264 0.000000 0.000000
1.680908 20.0 4665 7574 164476 4 3793746598 12239 0.000000 0.000000
1.746826 20.0 5359 6968 162467 3 3793746624 12327 0.000000 0.000000
