# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2
-1.757812 20.0 5950 6397 163214 2 3793746664 12347 0.000000 0.000000
-1.669922 20.0 6706 5391 162329 6 3793746690 12097 0.000000 0.000000
-1.604004 20.0 7043 5008 164325 2 3793746716 12051 0.000000 0.000000
-1.516113 20.0 7202 4763 166646 4 3793746742 11965 0.000000 0.000000
-1.417236 20.0 7480 4548 166008 4 3793746768 12028 0.000000 0.000000
-1.340332 20.0 7498 4446 166128 4 3793746794 11944 0.000000 0.000000
-1.241455 20.0 7506 4619 165459 4 3793746821 12125 0.000000 0.000000
-1.153565 20.0 7044 5065 165110 3 3793746847 12109 0.000000 0.000000
-1.087646 20.0 6556 5478 164653 2 3793746873 12034 0.000000 0.000000
-0.988769 20.0 6018 6107 162903 7 3793746899 12125 0.000000 0.000000
-0.900879 20.0 5303 6962 163188 1 3793746925 12265 0.000000 0.000000
-0.812988 20.0 4719 7473 163241 4 3793746951 12192 0.000000 0.000000
-0.736084 20.0 4192 7912 162670 2 3793746977 12104 0.000000 0.000000
-0.637207 20.0 3301 8817 164082 6 3793747003 12118 0.000000 0.000000
-0.560303 20.0 2826 9421 164889 0 3793747030 12247 0.000000 0.000000
-0.483398 20.0 2620 9706 164701 3 3793747056 12326 0.000000 0.000000
-0.395508 20.0 2346 9918 165886 4 3793747082 12264 0.000000 0.000000
-0.296631 20.0 2316 9838 163621 4 3793747108 12154 0.000000 0.000000
-0.208740 20.0 2527 9867 160430 7 3793747134 12394 0.000000 0.000000
-0.120850 20.0 2931 9411 160827 4 3793747160 12342 0.000000 0.000000
-0.054932 20.0 3364 8749 161170 3 3793747186 12113 0.000000 0.000000
0.032959 20.0 3827 8262 160453 6 3793747213 12089 0.000000 0.000000
0.131836 20.0 4722 7750 159774 3 3793747239 12472 0.000000 0.000000
0.219727 20.0 5297 6749 162224 5 3793747265 12046 0.000000 0.000000
0.296631 20.0 6080 6101 162764 2 3793747291 12181 0.000000 0.000000
0.384522 20.0 6595 5597 163642 0 3793747317 12192 0.000000 0.000000
0.472412 20.0 7065 5101 162790 0 3793747343 12166 0.000000 0.000000
0.549316 20.0 7415 4618 165334 2 3793747369 12033 0.000000 0.000000
0.659180 20.0 7522 4511 165437 2 3793747395 12033 0.000000 0.000000
0.736084 20.0 7682 4520 164228 2 3793747421 12202 0.000000 0.000000
0.823975 20.0 7184 4762 165054 1 3793747448 11946 0.000000 0.000000
0.889893 20.0 7168 4904 163084 3 3793747474 12072 0.000000 0.000000
0.977783 20.0 6606 5533 161218 4 3793747500 12139 0.000000 0.000000
1.076660 20.0 6154 6100 162979 0 3793747526 12254 0.000000 0.000000
1.164551 20.0 5519 6822 162099 4 3793747552 12341 0.000000 0.000000
1.252441 20.0 4549 7511 169353 4 3793747578 12060 0.000000 0.000000
1.329346 20.0 4192 7912 168795 3 3793747604 12104 0.000000 0.000000
1.417236 20.0 3545 8704 166320 3 3793747630 12249 0.000000 0.000000
1.494141 20.0 2945 9094 166448 7 3793747657 12039 0.000000 0.000000
1.593018 20.0 2596 9846 165985 2 3793747683 12442 0.000000 0.000000
1.680908 20.0 2433 9816 166887 1 3793747709 12249 0.000000 0.000000
1.757812 20.0 2433 9909 165172 2 3793747735 12342 0.000000 0.000000
