# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2
-2.823486 20.0 12244 8904 146476 2 3795795236 21148 0.000000 0.000000
-2.636719 20.0 13682 8040 146193 2 3795795262 21722 0.000000 0.000000
-2.460938 20.0 13116 8410 146113 0 3795795289 21526 0.000000 0.000000
-2.274170 20.0 11114 10023 146180 3 3795795315 21137 0.000000 0.000000
-2.098389 20.0 8178 13393 145787 5 3795795341 21571 0.000000 0.000000
-1.922607 20.0 5072 16529 145615 1 3795795367 21601 0.000000 0.000000
-1.735840 20.0 2479 18789 145876 4 3795795393 21268 0.000000 0.000000
-1.571045 20.0 1731 19628 145897 2 3795795419 21359 0.000000 0.000000
-1.384277 20.0 2611 18793 146036 2 3795795445 21404 0.000000 0.000000
-1.197510 20.0 4991 16372 145882 2 3795795471 21363 0.000000 0.000000
-1.032715 20.0 8073 13414 145770 1 3795795498 21487 0.000000 0.000000
-0.845947 20.0 11193 10204 145918 3 3795795524 21397 0.000000 0.000000
-0.659180 20.0 13030 8260 145984 5 3795795550 21290 0.000000 0.000000
-0.483398 20.0 13232 7874 145919 2 3795795576 21106 0.000000 0.000000
-0.296631 20.0 12128 9510 146199 2 3795795602 21638 0.000000 0.000000
-0.131836 20.0 9378 11904 146040 4 3795795628 21282 0.000000 0.000000
0.054932 20.0 6323 14930 146109 5 3795795654 21253 0.000000 0.000000
0.241699 20.0 3470 17719 144675 3 3795795680 21189 0.000000 0.000000
0.406494 20.0 1832 19892 144064 4 3795795707 21724 0.000000 0.000000
0.593262 20.0 1923 19545 144352 1 3795795733 21468 0.000000 0.000000
0.780029 20.0 3856 17511 144263 2 3795795759 21367 0.000000 0.000000
0.966797 20.0 6557 14708 144221 0 3795795785 21265 0.000000 0.000000
1.153565 20.0 10005 11572 144448 2 3795795811 21577 0.000000 0.000000
1.307373 20.0 12147 9281 144355 2 3795795837 21428 0.000000 0.000000
1.505127 20.0 13526 8060 144285 5 3795795863 21586 0.000000 0.000000
1.680908 20.0 12853 8469 144121 5 3795795890 21322 0.000000 0.000000
1.856690 20.0 11128 10320 144369 1 3795795916 21448 0.000000 0.000000
2.043457 20.0 8014 13360 144432 4 3795795942 21374 0.000000 0.000000
2.219238 20.0 4781 16828 144486 2 3795795968 21609 0.000000 0.000000
2.384033 20.0 2420 19113 144626 2 3795795994 21533 0.000000 0.000000
2.570801 20.0 1630 19859 144322 2 3795796020 21489 0.000000 0.000000
2.746582 20.0 2788 18785 144352 3 3795796046 21573 0.000000 0.000000
2.944336 20.0 5237 16043 144713 1 3795796072 21280 0.000000 0.000000
3.120117 20.0 8706 13127 144282 1 3795796098 21833 0.000000 0.000000
