*Begin rocking: 14/03/2024 18:37:31
*Points: 0
*
*notes: 
*Rho-Axis: 6.680
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.7919400	2	54	1023	14635	4	1077
         1	0.7918900	2	72	1161	14754	9	1233
         2	0.7918500	2	89	1349	14836	4	1438
         3	0.7917900	2	147	1597	14810	3	1744
         4	0.7917300	2	235	1846	14962	5	2081
         5	0.7916900	2	380	2099	14764	2	2479
         6	0.7916600	2	627	2415	14728	4	3042
         7	0.7915900	2	1298	2615	14584	2	3913
         8	0.7915500	2	2202	2840	14774	10	5042
         9	0.7914900	2	3384	2882	14753	4	6266
        10	0.7914400	2	5210	3603	14848	2	8813
        11	0.7913900	2	6553	5031	14745	6	11584
        12	0.7913300	2	7749	6270	14881	5	14019
        13	0.7912900	2	8670	6627	14843	3	15297
        14	0.7912400	2	9073	6933	14797	6	16006
        15	0.7911800	2	7934	7841	14763	7	15775
        16	0.7911500	2	7006	7806	14856	3	14812
        17	0.7910800	2	5180	7144	14838	5	12324
        18	0.7910400	2	3927	5715	14701	2	9642
        19	0.7909900	2	1945	4836	14861	3	6781
        20	0.7909400	2	1106	4008	14580	2	5114
*stopped by user: 14/03/2024 18:38:58
