# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2
-2.098389 20.0 2487 8749 2 22 3795013442 11236 0.000000 0.000000
-1.889648 20.0 1272 10167 1 18 3795013468 11439 0.000000 0.000000
-1.680908 20.0 1043 10174 2 13 3795013494 11217 0.000000 0.000000
-1.483154 20.0 1657 9651 2 21 3795013521 11308 0.000000 0.000000
-1.263428 20.0 3810 7551 2 26 3795013547 11361 0.000000 0.000000
-1.054688 20.0 5286 5769 5 17 3795013573 11055 0.000000 0.000000
-0.834961 20.0 6229 4777 2 12 3795013599 11006 0.000000 0.000000
-0.626221 20.0 6333 4664 5 23 3795013625 10997 0.000000 0.000000
-0.428467 20.0 5447 5813 1 19 3795013652 11260 0.000000 0.000000
-0.208740 20.0 3634 7436 4 14 3795013678 11070 0.000000 0.000000
0.010986 20.0 2023 9302 3 17 3795013704 11325 0.000000 0.000000
0.197754 20.0 1028 10231 5 17 3795013731 11259 0.000000 0.000000
0.417480 20.0 1101 10156 3 21 3795013757 11257 0.000000 0.000000
0.626221 20.0 2204 8953 4 26 3795013783 11157 0.000000 0.000000
0.834961 20.0 4142 6877 7 11 3795013809 11019 0.000000 0.000000
1.054688 20.0 5789 5289 3 15 3795013836 11078 0.000000 0.000000
1.263428 20.0 6786 4380 4 24 3795013862 11166 0.000000 0.000000
1.472168 20.0 6609 4563 5 13 3795013888 11172 0.000000 0.000000
1.680908 20.0 5236 6144 2 11 3795013914 11380 0.000000 0.000000
1.889648 20.0 3685 7457 0 25 3795013940 11142 0.000000 0.000000
2.098389 20.0 1958 9252 1 19 3795013967 11210 0.000000 0.000000
2.307129 20.0 902 10425 4 19 3795013993 11327 0.000000 0.000000
