*Begin rocking: 07/10/2025 09:09:00
*Points: 0
*
*notes: 
*Rho-Axis: -1.100
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.3475700	2	41	117	6045	149	158
         1	0.3476300	2	54	154	5962	152	208
         2	0.3476800	2	70	226	5953	140	296
         3	0.3477300	2	115	273	5983	178	388
         4	0.3477800	2	169	350	5935	206	519
         5	0.3478200	2	175	402	6148	261	577
         6	0.3478700	2	156	432	6228	328	588
         7	0.3479300	2	297	308	6077	556	605
         8	0.3479800	2	285	380	5939	469	665
         9	0.3480300	2	274	431	6091	405	705
        10	0.3480800	2	193	397	6091	423	590
        11	0.3481300	2	225	279	6011	405	504
        12	0.3481700	2	179	295	6041	216	474
        13	0.3482300	2	159	237	6145	186	396
        14	0.3482900	2	124	154	5992	166	278
        15	0.3483200	2	102	137	6161	126	239
        16	0.3483700	2	49	112	6095	134	161
*stopped by user: 07/10/2025 09:10:05
