*Begin rocking: 18/06/2025 12:05:24
*Points: 0
*
*notes: 
*Rho-Axis: -0.850
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	-1.3585100	2	8	8	2446	118	16
         1	-1.3585600	2	6	5	2452	116	11
         2	-1.3586000	2	5	4	2485	138	9
         3	-1.3586500	2	15	11	2450	157	26
         4	-1.3587100	2	17	8	2612	162	25
         5	-1.3587500	2	14	4	2464	189	18
         6	-1.3588000	2	21	6	2515	232	27
         7	-1.3588600	2	22	10	2530	256	32
         8	-1.3589000	2	40	14	2344	279	54
         9	-1.3589600	2	56	16	2535	351	72
        10	-1.3590000	2	61	34	2480	374	95
        11	-1.3590600	2	74	42	3118	403	116
        12	-1.3591200	2	113	54	2859	464	167
        13	-1.3591600	2	145	104	2596	545	249
        14	-1.3592100	2	176	145	2367	518	321
        15	-1.3592600	2	197	171	2508	573	368
        16	-1.3593000	2	233	220	2432	554	453
        17	-1.3593500	2	255	253	2419	554	508
        18	-1.3594100	2	238	236	2401	573	474
        19	-1.3594600	2	250	206	2472	533	456
        20	-1.3595000	2	276	194	2372	575	470
        21	-1.3595600	2	236	170	2518	565	406
        22	-1.3596100	2	191	139	2395	564	330
        23	-1.3596600	2	166	93	2450	555	259
        24	-1.3597000	2	124	62	2462	456	186
        25	-1.3597500	2	72	35	2456	434	107
        26	-1.3598100	2	53	27	3088	388	80
        27	-1.3598500	2	53	13	2866	357	66
        28	-1.3599100	2	36	17	2902	294	53
        29	-1.3599600	2	29	15	2773	255	44
        30	-1.3600000	2	33	9	2454	246	42
        31	-1.3600700	2	28	9	2462	251	37
        32	-1.3600900	2	30	14	2403	198	44
        33	-1.3601600	2	11	8	2381	183	19
        34	-1.3602100	2	2	7	2448	158	9
*stopped by user: 18/06/2025 12:07:41
