*Begin rocking: 25/09/2025 14:25:24
*Points: 0
*
*notes: 
*Rho-Axis: -1.130
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	-0.3996900	2	3	2	4510	140	5
         1	-0.3996400	2	3	1	4532	141	4
         2	-0.3995900	2	2	1	4604	164	3
         3	-0.3995400	2	2	2	4512	164	4
         4	-0.3995000	2	5	1	4586	188	6
         5	-0.3994500	2	6	2	4549	166	8
         6	-0.3993900	2	0	2	4555	207	2
         7	-0.3993400	2	4	1	4458	204	5
         8	-0.3993000	2	6	3	4501	221	9
         9	-0.3992400	2	5	3	4579	226	8
        10	-0.3992000	2	10	0	4556	265	10
        11	-0.3991500	2	7	3	4487	281	10
        12	-0.3990900	2	12	1	4488	288	13
        13	-0.3990200	2	9	6	4545	315	15
        14	-0.3989900	2	17	2	4496	377	19
        15	-0.3989400	2	16	3	4613	381	19
        16	-0.3988900	2	14	5	4539	424	19
        17	-0.3988400	2	27	9	4647	480	36
        18	-0.3987900	2	24	3	4599	549	27
        19	-0.3987400	2	43	7	4476	591	50
        20	-0.3986900	2	56	3	4723	748	59
        21	-0.3986300	2	83	10	4593	792	93
        22	-0.3985900	2	105	15	4521	876	120
        23	-0.3985400	2	152	19	4478	1073	171
        24	-0.3984900	2	229	44	4520	1311	273
        25	-0.3984300	2	334	76	4609	1535	410
        26	-0.3984000	2	506	147	4496	1837	653
        27	-0.3983400	2	680	236	4572	2220	916
        28	-0.3982900	2	899	370	4516	2519	1269
        29	-0.3982400	2	1085	568	4511	3091	1653
        30	-0.3981900	2	1332	756	4610	3410	2088
        31	-0.3981300	2	1730	1065	4529	4169	2795
        32	-0.3980900	2	2057	1391	4544	4990	3448
        33	-0.3980500	2	2293	1623	4467	5314	3916
        34	-0.3979800	2	2364	1699	4541	5460	4063
        35	-0.3979400	2	2399	1678	4548	5482	4077
        36	-0.3978900	2	2246	1800	4477	5405	4046
        37	-0.3978300	2	2076	1588	4519	4970	3664
        38	-0.3977900	2	1903	1451	4571	4605	3354
        39	-0.3977300	2	1680	1175	4494	3943	2855
        40	-0.3976900	2	1386	834	4506	3447	2220
        41	-0.3976300	2	1051	524	4556	2912	1575
        42	-0.3975900	2	824	381	4602	2532	1205
        43	-0.3975300	2	598	195	4477	2064	793
        44	-0.3974900	2	443	110	4687	1735	553
        45	-0.3974400	2	307	50	4473	1418	357
        46	-0.3973800	2	208	27	4560	1198	235
        47	-0.3973300	2	141	19	4504	1078	160
        48	-0.3972900	2	102	15	4559	868	117
        49	-0.3972400	2	54	17	4521	834	71
        50	-0.3971900	2	59	6	4455	732	65
        51	-0.3971300	2	38	9	4564	583	47
*stopped by user: 25/09/2025 14:28:57
